lat,lon,alt,compass,yaw,time,sys_time,sys_date
0,0,-0.05,177.97,177.97,1.70956e+09,1709560927813966260,1.70956e+09
0,0,0.192,177.97,177.97,1.70956e+09,1709560928147534801,1.70956e+09
0,0,-0.265,177.96,177.96,1.70956e+09,1709560928479327510,1.70956e+09
0,0,-0.231,177.96,177.96,1.70956e+09,1709560928813262822,1.70956e+09
0,0,-0.045,177.96,177.96,1.70956e+09,1709560929145594905,1.70956e+09
0,0,0.104,177.96,177.96,1.70956e+09,1709560929479027093,1.70956e+09
0,0,0.031,177.96,177.96,1.70956e+09,1709560929812341415,1.70956e+09
0,0,-0.129,177.96,177.96,1.70956e+09,1709560930144918499,1.70956e+09
0,0,-0.096,177.95,177.95,1.70956e+09,1709560930478049905,1.70956e+09
0,0,0.389,177.96,177.96,1.70956e+09,1709560930815839019,1.70956e+09
0,0,0.175,177.98,177.98,1.70956e+09,1709560931144402300,1.70956e+09
0,0,0.124,177.98,177.98,1.70956e+09,1709560931480498498,1.70956e+09
0,0,-0.254,177.97,177.97,1.70956e+09,1709560931814198810,1.70956e+09
0,0,0.121,177.96,177.96,1.70956e+09,1709560932146234331,1.70956e+09
0,0,0.175,177.96,177.96,1.70956e+09,1709560932476897300,1.70956e+09
0,0,-0.09,177.95,177.95,1.70956e+09,1709560932810011779,1.70956e+09
0,0,-0.18,177.95,177.95,1.70956e+09,1709560933144578341,1.70956e+09
0,0,0.302,177.95,177.95,1.70956e+09,1709560933474893602,1.70956e+09
0,0,0.067,177.95,177.95,1.70956e+09,1709560933806910112,1.70956e+09
0,0,0.237,177.95,177.95,1.70956e+09,1709560934141007507,1.70956e+09
0,0,0.127,177.98,177.98,1.70956e+09,1709560956461942186,1.70956e+09
0,0,0.61,177.98,177.98,1.70956e+09,1709560956786323488,1.70956e+09
0,0,-0.107,177.98,177.98,1.70956e+09,1709560957123776040,1.70956e+09
0,0,0.115,177.98,177.98,1.70956e+09,1709560957451643749,1.70956e+09
0,0,0.214,177.98,177.98,1.70956e+09,1709560957787980259,1.70956e+09
0,0,-0.045,177.99,177.99,1.70956e+09,1709560958117422967,1.70956e+09
0,0,0.536,177.74,177.74,1.70956e+09,1709559389268371951,1.70956e+09
0,0,0.316,177.73,177.73,1.70956e+09,1709559389605685076,1.70956e+09
0,0,0.548,177.73,177.73,1.70956e+09,1709559389940439711,1.70956e+09
0,0,0.635,177.73,177.73,1.70956e+09,1709559390267720596,1.70956e+09
0,0,0.664,177.74,177.74,1.70956e+09,1709559390610017471,1.70956e+09
0,0,0.669,177.72,177.72,1.70956e+09,1709559390933668565,1.70956e+09
0,0,0.748,177.73,177.73,1.70956e+09,1709559391265254867,1.70956e+09
0,0,0.446,177.7,177.7,1.70956e+09,1709559391601766481,1.70956e+09
0,0,0.827,177.7,177.7,1.70956e+09,1709559391937528356,1.70956e+09
0,0,0.61,177.7,177.7,1.70956e+09,1709559392262836325,1.70956e+09
0,0,0.819,177.7,177.7,1.70956e+09,1709559392598006637,1.70956e+09
0,0,0.613,177.7,177.7,1.70956e+09,1709559392929079033,1.70956e+09
0,0,0.672,177.69,177.69,1.70956e+09,1709559393264051168,1.70956e+09
0,0,0.762,177.68,177.68,1.70956e+09,1709559393595708147,1.70956e+09
0,0,0.404,177.67,177.67,1.70956e+09,1709559393928302418,1.70956e+09
0,0,0.356,177.67,177.67,1.70956e+09,1709559394262600959,1.70956e+09
0,0,0.471,177.67,177.67,1.70956e+09,1709559394595275959,1.70956e+09
0,0,0.418,177.66,177.66,1.70956e+09,1709559394932397261,1.70956e+09
0,0,0.717,177.65,177.65,1.70956e+09,1709559395262159970,1.70956e+09
0,0,0.477,177.65,177.65,1.70956e+09,1709559395593256324,1.70956e+09
0,0,0.791,177.64,177.64,1.70956e+09,1709559395929139553,1.70956e+09
0,0,0.85,177.63,177.63,1.70956e+09,1709559396261097782,1.70956e+09
0,0,0.601,177.63,177.63,1.70956e+09,1709559396594911219,1.70956e+09
0,0,0.909,177.63,177.63,1.70956e+09,1709559396926196531,1.70956e+09
0,0,0.748,177.64,177.64,1.70956e+09,1709559397258433146,1.70956e+09
0,0,0.539,177.63,177.63,1.70956e+09,1709559397590585177,1.70956e+09
0,0,0.449,177.65,177.65,1.70956e+09,1709559397924337573,1.70956e+09
0,0,0.483,177.66,177.66,1.70956e+09,1709559398256635698,1.70956e+09
0,0,0.483,177.66,177.66,1.70956e+09,1709559398591174708,1.70956e+09
0,0,0.344,177.67,177.67,1.70956e+09,1709559398924199864,1.70956e+09
0,0,0.607,177.66,177.66,1.70956e+09,1709559399257977728,1.70956e+09
0,0,0.912,177.71,177.71,1.70956e+09,1709559459537519476,1.70956e+09
0,0,0.813,177.7,177.7,1.70956e+09,1709559459866666768,1.70956e+09
0,0,0.576,177.71,177.71,1.70956e+09,1709559460208421143,1.70956e+09
0,0,0.697,177.71,177.71,1.70956e+09,1709559460535200309,1.70956e+09
0,0,0.963,177.71,177.71,1.70956e+09,1709559460860366924,1.70956e+09
0,0,0.641,177.72,177.72,1.70956e+09,1709559461195028226,1.70956e+09
0,0,0.765,177.72,177.72,1.70956e+09,1709559461526401298,1.70956e+09
0,0,0.706,177.71,177.71,1.70956e+09,1709559461865424736,1.70956e+09
0,0,0.89,177.71,177.71,1.70956e+09,1709559462192747704,1.70956e+09
0,0,0.717,177.7,177.7,1.70956e+09,1709559462526867548,1.70956e+09
0,0,0.887,177.69,177.69,1.70956e+09,1709559462859249423,1.70956e+09
0,0,0.692,177.7,177.7,1.70956e+09,1709559463192739787,1.70956e+09
0,0,0.689,177.69,177.69,1.70956e+09,1709559463525493537,1.70956e+09
0,0,0.712,177.7,177.7,1.70956e+09,1709559463860990412,1.70956e+09
0,0,0.771,177.7,177.7,1.70956e+09,1709559464193901402,1.70956e+09
0,0,0.87,177.69,177.69,1.70956e+09,1709559464527886714,1.70956e+09
0,0,0.717,177.7,177.7,1.70956e+09,1709559464857169474,1.70956e+09
0,0,0.861,177.7,177.7,1.70956e+09,1709559465191886193,1.70956e+09
0,0,0.844,177.7,177.7,1.70956e+09,1709559465523416974,1.70956e+09
0,0,1.161,177.7,177.7,1.70956e+09,1709559465862007495,1.70956e+09
